2024-10-09 15:09:00,535 - INFO - --- Starting Scenario: 2_player_heterogeneous_equiprobable_actions ---
2024-10-09 15:09:00,535 - INFO - Hyperparameters: n_agents=2, action_size=2, sigma_beta=0.5, alpha=1.3, beta_parameters=[0.63461776 0.36538224]
2024-10-09 15:09:00,550 - INFO - Episode 86: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.48888889 0.51111111], Joint Action Frequencies=[0.25555556 0.25555556 0.23333333 0.25555556], Iteration=91
2024-10-09 15:09:00,550 - INFO - Episode 87: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.48351648 0.51648352], Joint Action Frequencies=[0.25274725 0.26373626 0.23076923 0.25274725], Iteration=92
2024-10-09 15:09:00,550 - INFO - Episode 88: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.47826087 0.52173913], Joint Action Frequencies=[0.25       0.27173913 0.22826087 0.25      ], Iteration=93
2024-10-09 15:09:00,551 - INFO - Episode 89: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.47311828 0.51612903], Joint Action Frequencies=[0.25806452 0.2688172  0.22580645 0.24731183], Iteration=94
2024-10-09 15:09:00,551 - INFO - Episode 90: Actions=(0, 1), Rewards=[0.36538224 0.        ], Action Frequencies=[0.46808511 0.5212766 ], Joint Action Frequencies=[0.25531915 0.27659574 0.22340426 0.24468085], Iteration=95
2024-10-09 15:09:00,551 - INFO - Episode 91: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.47368421 0.51578947], Joint Action Frequencies=[0.25263158 0.27368421 0.23157895 0.24210526], Iteration=96
2024-10-09 15:09:00,551 - INFO - Episode 92: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.47916667 0.52083333], Joint Action Frequencies=[0.25       0.27083333 0.22916667 0.25      ], Iteration=97
2024-10-09 15:09:00,551 - INFO - Episode 93: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.48453608 0.5257732 ], Joint Action Frequencies=[0.24742268 0.26804124 0.22680412 0.25773196], Iteration=98
2024-10-09 15:09:00,551 - INFO - Episode 94: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.48979592 0.52040816], Joint Action Frequencies=[0.24489796 0.26530612 0.23469388 0.25510204], Iteration=99
2024-10-09 15:09:00,552 - INFO - Episode 95: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.49494949 0.51515152], Joint Action Frequencies=[0.24242424 0.26262626 0.24242424 0.25252525], Iteration=100
2024-10-09 15:09:00,552 - INFO - Episode 96: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.5  0.51], Joint Action Frequencies=[0.24 0.26 0.25 0.25], Iteration=101
2024-10-09 15:09:00,552 - INFO - Episode 97: Actions=(1, 0), Rewards=[0.         0.63461776], Action Frequencies=[0.5049505 0.5049505], Joint Action Frequencies=[0.23762376 0.25742574 0.25742574 0.24752475], Iteration=102
2024-10-09 15:09:00,552 - INFO - Episode 98: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.24509804 0.25490196 0.25490196 0.24509804], Iteration=103
2024-10-09 15:09:00,552 - INFO - Episode 99: Actions=(0, 0), Rewards=[0.23187806 0.23187806], Action Frequencies=[0.49514563 0.49514563], Joint Action Frequencies=[0.25242718 0.25242718 0.25242718 0.24271845], Iteration=104
2024-10-09 15:09:00,552 - INFO - Episode 100: Actions=(1, 1), Rewards=[0.30144148 0.30144148], Action Frequencies=[0.5 0.5], Joint Action Frequencies=[0.25 0.25 0.25 0.25], Iteration=105
2024-10-09 15:09:00,552 - INFO - --- Ending Scenario: 2_player_heterogeneous_equiprobable_actions ---
